question_E,query,question_VN
What are the ids of the students who registered for course 301?,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,ID của các sinh viên đã đăng ký khóa học 301 là gì?
What is the id of the student who most recently registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,ID của học sinh gần đây nhất là khóa học 301?
What are the ids of the students who registered for course 301 most recently?,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,ID của các sinh viên đã đăng ký khóa học 301 gần đây nhất là gì?
Find distinct cities of addresses of people?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,Tìm thành phố riêng biệt của địa chỉ của mọi người?
What are the different cities where people live?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,Các thành phố khác nhau nơi mọi người sống là gì?
Find distinct cities of address of students?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,Tìm thành phố riêng biệt của địa chỉ của sinh viên?
What are the different cities where students live?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,Các thành phố khác nhau nơi sinh viên sống là gì?
List the names of courses in alphabetical order?,SELECT course_name FROM courses ORDER BY course_name,Liệt kê tên của các khóa học theo thứ tự bảng chữ cái?
What are the names of the courses in alphabetical order?,SELECT course_name FROM courses ORDER BY course_name,Tên của các khóa học theo thứ tự bảng chữ cái là gì?
List the first names of people in alphabetical order?,SELECT first_name FROM people ORDER BY first_name,Liệt kê tên đầu tiên của những người theo thứ tự bảng chữ cái?
What are the first names of the people in alphabetical order?,SELECT first_name FROM people ORDER BY first_name,Tên đầu tiên của những người theo thứ tự bảng chữ cái là gì?
What are the id of students who registered courses or attended courses?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,ID của các sinh viên đã đăng ký các khóa học hoặc tham gia các khóa học là gì?
What are the ids of the students who either registered or attended a course?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,ID của các sinh viên đã đăng ký hoặc tham dự khóa học là gì?
Find the id of courses which are registered or attended by student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,Tìm ID của các khóa học được đăng ký hoặc tham dự bởi sinh viên có ID là 121?
What are the ids of the courses that are registered or attended by the student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,ID của các khóa học được đăng ký hoặc tham dự bởi sinh viên có ID là 121 là gì?
What are all info of students who registered courses but not attended courses?,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Tất cả thông tin của các sinh viên đã đăng ký các khóa học nhưng không tham dự các khóa học là gì?
What are all details of the students who registered but did not attend any course?,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Tất cả các chi tiết của các sinh viên đã đăng ký nhưng không tham dự bất kỳ khóa học nào?
List the id of students who registered course statistics in the order of registration date.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",Liệt kê ID của các sinh viên đã đăng ký Thống kê khóa học theo thứ tự ngày đăng ký.
What are the ids of the students who registered course statistics by order of registration date?,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",ID của các sinh viên đã đăng ký thống kê khóa học theo thứ tự ngày đăng ký là gì?
List the id of students who attended  statistics courses in the order of attendance date.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",Liệt kê ID của các sinh viên tham dự các khóa học thống kê theo thứ tự ngày tham dự.
What are the ids of the students who attended courses in the statistics department in order of attendance date.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",ID của các sinh viên đã tham dự các khóa học trong bộ phận thống kê theo thứ tự ngày tham dự.
Give me the dates when the max temperature was higher than 85.,SELECT date FROM weather WHERE max_temperature_f  >  85,Cho tôi ngày khi nhiệt độ tối đa cao hơn 85.
What are the dates with a maximum temperature higher than 85?,SELECT date FROM weather WHERE max_temperature_f  >  85,Các ngày có nhiệt độ tối đa cao hơn 85 là bao nhiêu?
What are the names of stations that have latitude lower than 37.5?,SELECT name FROM station WHERE lat  <  37.5,"Tên của các trạm có vĩ độ thấp hơn 37,5 là gì?"
What are the names of all stations with a latitude smaller than 37.5?,SELECT name FROM station WHERE lat  <  37.5,"Tên của tất cả các trạm có vĩ độ nhỏ hơn 37,5 là gì?"
"For each city, return the highest latitude among its stations.","SELECT city ,  max(lat) FROM station GROUP BY city","Đối với mỗi thành phố, trả lại vĩ độ cao nhất trong số các trạm của nó."
"For each city, what is the highest latitude for its stations?","SELECT city ,  max(lat) FROM station GROUP BY city","Đối với mỗi thành phố, vĩ độ cao nhất cho các trạm của nó là gì?"
Give me the start station and end station for the trips with the three oldest id.,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",Đưa cho tôi trạm bắt đầu và trạm cuối cho các chuyến đi với ba ID lâu đời nhất.
What is the station station and end station for the trips with the three smallest ids?,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",Trạm trạm và trạm cuối cho các chuyến đi với ba ID nhỏ nhất là gì?
What is the average latitude and longitude of stations located in San Jose city?,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",Vĩ độ trung bình và kinh độ của các trạm nằm ở thành phố San Jose là gì?
What is the average latitude and longitude in San Jose?,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",Vĩ độ và kinh độ trung bình ở San Jose là gì?
What is the id of the trip that has the shortest duration?,SELECT id FROM trip ORDER BY duration LIMIT 1,ID của chuyến đi có thời gian ngắn nhất là gì?
What is the id of the shortest trip?,SELECT id FROM trip ORDER BY duration LIMIT 1,ID của chuyến đi ngắn nhất là gì?
What is the total and maximum duration of trips with bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",Tổng thời gian và tối đa của các chuyến đi với ID xe đạp 636 là bao nhiêu?
What is the total and maximum duration for all trips with the bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",Tổng thời gian và tối đa cho tất cả các chuyến đi với ID xe đạp 636 là bao nhiêu?
"For each zip code, return the average mean temperature of August there.","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","Đối với mỗi mã zip, trả lại nhiệt độ trung bình trung bình của tháng 8 ở đó."
"For each zip code, what is the average mean temperature for all dates that start with '8'?","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","Đối với mỗi mã zip, nhiệt độ trung bình trung bình cho tất cả các ngày bắt đầu bằng '8' là bao nhiêu?"
"From the trip record, find the number of unique bikes.",SELECT count(DISTINCT bike_id) FROM trip,"Từ hồ sơ chuyến đi, tìm số lượng xe đạp độc đáo."
How many different bike ids are there?,SELECT count(DISTINCT bike_id) FROM trip,Có bao nhiêu id xe đạp khác nhau?
What is the number of distinct cities the stations are located at?,SELECT count(DISTINCT city) FROM station,Số lượng các thành phố riêng biệt mà các trạm được đặt tại là bao nhiêu?
How many different cities have these stations?,SELECT count(DISTINCT city) FROM station,Có bao nhiêu thành phố khác nhau có các trạm này?
How many stations does Mountain View city has?,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",Mountain View City có bao nhiêu trạm?
How many stations are in Mountain View?,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",Có bao nhiêu trạm trong Mountain View?
Return the unique name for stations that have ever had 7 bikes available.,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,Trả lại tên duy nhất cho các trạm đã từng có sẵn 7 chiếc xe đạp.
